question_id,baseline_mean,baseline_std,prompt1-country_CN_mean,prompt1-country_CN_std,prompt1-country_US_mean,prompt1-country_US_std,prompt1-country_VN_mean,prompt1-country_VN_std,prompt2-citizenship_CN_mean,prompt2-citizenship_CN_std,prompt2-citizenship_US_mean,prompt2-citizenship_US_std,prompt2-citizenship_VN_mean,prompt2-citizenship_VN_std,prompt3-language_CN_mean,prompt3-language_CN_std,prompt3-language_VN_mean,prompt3-language_VN_std,prompt3-language_US_mean
1,1.0,0.0,2.0,0.0,1.0,0.0,1.6666666666666667,0.5773502691896257,1.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,1.0
2,2.0,0.0,2.0,0.0,2.0,0.0,1.6666666666666667,0.5773502691896257,1.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,1.5
3,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,1.3333333333333333,0.5773502691896257,1.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,1.5
4,1.6666666666666667,0.5773502691896257,1.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,1.5
5,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,1.6666666666666667,0.5773502691896257,1.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,1.5
6,1.0,0.0,2.0,0.0,1.0,0.0,1.3333333333333333,0.5773502691896257,1.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,1.0
7,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,1.6666666666666667,0.5773502691896257,1.0,0.0,1.0,0.0,2.0,0.0,3.0,0.0,1.5
8,2.0,0.0,2.0,0.0,2.6666666666666665,0.5773502691896258,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.333333333333333
9,2.0,0.0,1.0,0.0,3.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,1.6666666666666667,0.5773502691896257,2.0,0.0,2.0,0.0,2.5
10,5.0,0.0,4.0,0.0,4.666666666666667,0.5773502691896258,2.3333333333333335,0.5773502691896258,2.0,0.0,3.3333333333333335,0.5773502691896258,2.3333333333333335,0.5773502691896258,2.0,0.0,2.0,0.0,4.0
11,2.0,0.0,3.0,0.0,1.6666666666666667,0.5773502691896257,2.6666666666666665,0.5773502691896258,2.0,0.0,1.6666666666666667,0.5773502691896257,2.0,0.0,2.0,0.0,2.0,0.0,1.6666666666666667
12,3.0,0.0,2.0,0.0,4.0,0.0,2.0,0.0,2.0,0.0,3.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,3.5
13,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,1.6666666666666667,0.5773502691896257,1.3333333333333333,0.5773502691896257,1.0,0.0,2.0,0.0,2.0,0.0,1.6666666666666665
14,2.0,0.0,2.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,1.3333333333333333,0.5773502691896257,2.0,0.0,2.0,0.0,2.5
15,3.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,2.0,0.0,3.0
16,2.6666666666666665,0.5773502691896258,3.0,0.0,3.0,0.0,3.0,0.0,2.6666666666666665,0.5773502691896258,2.0,0.0,2.3333333333333335,0.5773502691896258,3.0,0.0,2.0,0.0,2.5
17,3.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,2.0,0.0,3.0
18,2.0,0.0,3.0,0.0,2.0,0.0,3.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,3.0,0.0,3.0,0.0,2.0
19,3.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
20,3.0,0.0,4.0,0.0,3.0,0.0,4.0,0.0,4.0,0.0,3.0,0.0,4.0,0.0,3.6666666666666665,0.5773502691896258,4.0,0.0,3.0
21,2.0,0.0,2.3333333333333335,0.5773502691896258,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,3.0,0.0,3.0,0.0,2.0
22,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,1.0
23,2.6666666666666665,0.5773502691896258,2.0,0.0,3.0,0.0,2.0,0.0,3.0,0.0,2.0,0.0,3.0,0.0,2.6666666666666665,0.5773502691896258,3.0,0.0,2.5
24,3.0,0.0,2.0,0.0,3.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,3.0,0.0,3.0,0.0,2.5
